category,product_custom_name,asin,country_code,product_title,review_url,review_rating,review_date,reviewer_url,reviewer_name,reviewer_id,review_title,review_text,review_verified,variation_asin,deleted,deleted_datetime,product_attributes,amazon_review_id
,,B005JU5V6E,US,"Bosch ICON 21A Wiper Blade, Up to 40% Longer Life* - 21"" (Pack of 1)",https://www.amazon.com/gp/customer-reviews/R2433V3UTJK1SJ,5.0,2022-06-10,https://www.amazon.com/gp/profile/amzn1.account.AHKO2FQYX6SVSCPU27QMVA3F2CHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Richard Merce,AHKO2FQYX6SVSCPU27QMVA3F2CHQ,Good product,Correct size and fit,Yes,,Not Deleted,,,R2433V3UTJK1SJ
,,B005JU5V6E,US,"Bosch ICON 21A Wiper Blade, Up to 40% Longer Life* - 21"" (Pack of 1)",https://www.amazon.com/gp/customer-reviews/RES359N0Q3ITR,5.0,2022-05-03,https://www.amazon.com/gp/profile/amzn1.account.AFPAXRATYR2F5K5D74JWTIPVFWBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Jeff,AFPAXRATYR2F5K5D74JWTIPVFWBQ,I like these Blades and have been using them for a while,"I like these so much that all three of my vehicles have them on them.  I'll keep using them until I find a better product, but haven't.",Yes,,Not Deleted,,,RES359N0Q3ITR
,,B005JU5V6E,US,"Bosch ICON 21A Wiper Blade, Up to 40% Longer Life* - 21"" (Pack of 1)",https://www.amazon.com/gp/customer-reviews/R1823ZWWXL8EN6,5.0,2022-04-23,https://www.amazon.com/gp/profile/amzn1.account.AG6G4DAEKLJW42UEEW6FDBKD7KSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Damon,AG6G4DAEKLJW42UEEW6FDBKD7KSQ,Great,Best wiper blades I've ever used they wiped great no streaking no noise I won't own anything else,Yes,,Not Deleted,,,R1823ZWWXL8EN6
,,B005JU5V6E,US,"Bosch ICON 21A Wiper Blade, Up to 40% Longer Life* - 21"" (Pack of 1)",https://www.amazon.com/gp/customer-reviews/RJ6VJGMIUA833,5.0,2022-03-15,https://www.amazon.com/gp/profile/amzn1.account.AHNIS6USBYGNFADUIAVY5EDAEPJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Victor Bencosme,AHNIS6USBYGNFADUIAVY5EDAEPJQ,De lo mejor,"De lo mejor
Muy fácil de poner, son geniales",Yes,,Not Deleted,,,RJ6VJGMIUA833
,,B005JU5V6E,US,"Bosch ICON 21A Wiper Blade, Up to 40% Longer Life* - 21"" (Pack of 1)",https://www.amazon.com/gp/customer-reviews/R13Z4B1HAOYOMY,5.0,2022-02-06,https://www.amazon.com/gp/profile/amzn1.account.AFZAROXHWL4UR6LFZ6OVUN66BX2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,RW,AFZAROXHWL4UR6LFZ6OVUN66BX2A,They are the best wiper out.,"Easy to intall,quiet,install,, last a long time.",Yes,,Not Deleted,,,R13Z4B1HAOYOMY
,,B005JU5V6E,US,"Bosch ICON 21A Wiper Blade, Up to 40% Longer Life* - 21"" (Pack of 1)",https://www.amazon.com/gp/customer-reviews/RL3KKHVECGA8V,5.0,2022-01-11,https://www.amazon.com/gp/profile/amzn1.account.AHRMJCDVT2WKPG6YMPHYXR2FCZRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Raymond M.,AHRMJCDVT2WKPG6YMPHYXR2FCZRQ,Highly recommended purchase,"I love the Bosh windshield wipers. They are quiet, last the full recommended year and are easy to install.",Yes,,Not Deleted,,,RL3KKHVECGA8V
,,B005JU5V6E,US,"Bosch ICON 21A Wiper Blade, Up to 40% Longer Life* - 21"" (Pack of 1)",https://www.amazon.com/gp/customer-reviews/RFBGYFV65SU6K,5.0,2022-01-08,https://www.amazon.com/gp/profile/amzn1.account.AEENM5B2T24WIJP7TJRPAFOPYGOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Gary Huffman,AEENM5B2T24WIJP7TJRPAFOPYGOA,"Maybe a little pricey, but good.","These came on my MK4 Jetta when I bought it. They hold up well in all conditions, even extreme winter. I've tried cheaper ones and they don't hold up as well.",Yes,,Not Deleted,,,RFBGYFV65SU6K
,,B005JU5V6E,US,"Bosch ICON 21A Wiper Blade, Up to 40% Longer Life* - 21"" (Pack of 1)",https://www.amazon.com/gp/customer-reviews/R3S3R11R0GE132,5.0,2022-01-01,https://www.amazon.com/gp/profile/amzn1.account.AEYRQS3X6OAB5SIQDKCRUEEK2NIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,AAA,AEYRQS3X6OAB5SIQDKCRUEEK2NIQ,Durable,Durable wiper blades.,Yes,,Not Deleted,,,R3S3R11R0GE132
,,B005JU5V6E,US,"Bosch ICON 21A Wiper Blade, Up to 40% Longer Life* - 21"" (Pack of 1)",https://www.amazon.com/gp/customer-reviews/RYCIN7NVVBRH7,5.0,2021-08-31,https://www.amazon.com/gp/profile/amzn1.account.AGRSKYY3D5WME3C65E6G3W6N4FCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,fxvonthron,AGRSKYY3D5WME3C65E6G3W6N4FCQ,"Easy installation, no streaking","These are a snap to install and they remove rain without streaking. I can't comment on the longevity yet. FWIW, Amazon incorrectly states this won't fit a 2006 Tacoma when in fact it is the correct wiper blade on the passenger side, while the 22A goes on the driver's side.",Yes,,Not Deleted,,,RYCIN7NVVBRH7
,,B005JU5V6E,US,"Bosch ICON 21A Wiper Blade, Up to 40% Longer Life* - 21"" (Pack of 1)",https://www.amazon.com/gp/customer-reviews/RJA3LWBSR6JPU,5.0,2021-08-30,https://www.amazon.com/gp/profile/amzn1.account.AFFNEREKMHR2TFXWMBXVLY4IKEPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Savageblu,AFFNEREKMHR2TFXWMBXVLY4IKEPQ,Expensive But Definitely Worth the Price,"Simply the best wipers out there, period.",Yes,,Not Deleted,,,RJA3LWBSR6JPU
